		Locus1	Locus2	Locus3	Locus4	Locus5	Locus6	Locus7	Locus8	Locus9	Locus10	Locus11	Locus12	Locus13	Locus14	Locus15	Locus16	Locus17	Locus18	Locus19	Locus20	Locus21	Locus22	Locus23	Locus24	Locus25	Locus26	Locus27	Locus28	Locus29	Locus30	Locus31	Locus32	Locus33	Locus34	Locus35	Locus36	Locus37	Locus38	Locus39	Locus40	Locus41	Locus42	Locus43	Locus44	Locus45	Locus46	Locus47	Locus48	Locus49	Locus50	Locus51	Locus52	Locus53	Locus54	Locus55	Locus56	Locus57	Locus58	Locus59	Locus60	Locus61	Locus62	Locus63	Locus64	Locus65	Locus66	Locus67	Locus68	Locus69	Locus70	Locus71	Locus72	Locus73	Locus74	Locus75	Locus76	Locus77	Locus78	Locus79	Locus80	Locus81	Locus82	Locus83	Locus84	Locus85	Locus86	Locus87	Locus88	Locus89	Locus90	Locus91	Locus92	Locus93	Locus94	Locus95	Locus96	Locus97	Locus98	Locus99	Locus100	Locus101	Locus102	Locus103	Locus104	Locus105	Locus106	Locus107	Locus108	Locus109	Locus110	Locus111	Locus112	Locus113	Locus114	Locus115
6	1	-9	-9	-9	-9	19	-9	-9	22	-9	22	36	13	38	-9	19	2	-9	-9	-9	-9	3	26	16	-9	-9	-9	-9	18	-9	14	-9	20	28	-9	-9	-9	-9	-9	26	40	17	25	-9	-9	43	20	13	18	17	-9	12	-9	-9	-9	13	14	15	-9	-9	11	-9	-9	-9	15	21	17	20	-9	25	12	-9	-9	-9	29	-9	-9	13	-9	29	-9	-9	13	-9	-9	-9	-9	-9	-9	-9	15	17	13	14	-9	16	11	29	-9	24	13	-9	-9	21	-9	21	-9	-9	13	-9	40	-9	-9	-9	-9	-9
6	1	-9	-9	-9	-9	19	-9	-9	22	-9	22	36	13	38	-9	19	2	-9	-9	-9	-9	3	26	16	-9	-9	-9	-9	18	-9	14	-9	20	28	-9	-9	-9	-9	-9	26	40	17	25	-9	-9	43	20	13	18	17	-9	12	-9	-9	-9	13	14	15	-9	-9	11	-9	-9	-9	15	21	17	20	-9	25	12	-9	-9	-9	29	-9	-9	13	-9	29	-9	-9	13	-9	-9	-9	-9	-9	-9	-9	15	17	13	14	-9	16	11	29	-9	24	13	-9	-9	21	-9	21	-9	-9	13	-9	40	-9	-9	-9	-9	-9
7	1	-9	-9	-9	-9	-9	-9	-9	22	-9	-9	-9	11	-9	-9	-9	-9	-9	-9	-9	-9	27	-9	-9	-9	-9	-9	-9	16	-9	-9	-9	-9	-9	8	-9	-9	-9	-9	26	-9	-9	25	-9	-9	-9	20	-9	18	19	-9	-9	-9	-9	-9	-9	14	15	-9	-9	13	-9	23	-9	-9	21	17	-9	-9	25	12	-9	22	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	11	-9	-9	-9	20	-9	-9	-9	-9	21	-9	-9	11	-9	-9	-9	-9	22	29	-9
7	1	-9	-9	-9	-9	-9	-9	-9	22	-9	-9	-9	11	-9	-9	-9	-9	-9	-9	-9	-9	27	-9	-9	-9	-9	-9	-9	16	-9	-9	-9	-9	-9	8	-9	-9	-9	-9	26	-9	-9	25	-9	-9	-9	20	-9	18	19	-9	-9	-9	-9	-9	-9	14	15	-9	-9	13	-9	23	-9	-9	21	17	-9	-9	25	12	-9	22	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	11	-9	-9	-9	20	-9	-9	-9	-9	21	-9	-9	11	-9	-9	-9	-9	22	29	-9
8	1	-9	-9	-9	-9	-9	-9	-9	22	-9	29	16	-9	-9	-9	-9	33	-9	-9	-9	17	27	-9	-9	-9	14	-9	-9	-9	-9	-9	-9	-9	28	-9	-9	-9	12	-9	26	-9	-9	25	-9	-9	29	-9	-9	20	17	-9	12	-9	22	-9	13	14	15	-9	24	13	-9	23	32	-9	17	17	20	-9	25	-9	-9	22	-9	-9	31	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	11	29	-9	24	13	-9	-9	-9	-9	21	-9	-9	13	-9	-9	-9	13	-9	-9	-9
8	1	-9	-9	-9	-9	-9	-9	-9	22	-9	29	16	-9	-9	-9	-9	33	-9	-9	-9	17	27	-9	-9	-9	14	-9	-9	-9	-9	-9	-9	-9	28	-9	-9	-9	12	-9	26	-9	-9	25	-9	-9	29	-9	-9	20	17	-9	12	-9	22	-9	13	14	15	-9	24	13	-9	23	32	-9	17	17	20	-9	25	-9	-9	22	-9	-9	31	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	11	29	-9	24	13	-9	-9	-9	-9	21	-9	-9	13	-9	-9	-9	13	-9	-9	-9
9	1	-9	13	23	18	-9	13	-9	22	-9	22	16	11	-9	23	19	-9	24	16	15	-9	27	26	-9	-9	16	14	12	16	-9	16	19	20	24	-9	-9	17	25	-9	-9	40	17	-9	15	14	29	-9	-9	18	19	-9	12	30	22	-9	-9	-9	-9	-9	-9	-9	13	-9	24	15	-9	17	-9	39	-9	12	12	25	15	-9	27	-9	13	-9	25	28	30	-9	11	19	-9	-9	34	-9	46	15	-9	15	14	37	-9	-9	-9	-9	24	13	-9	-9	-9	-9	21	-9	23	13	17	32	30	13	22	29	18
9	1	-9	13	23	18	-9	13	-9	22	-9	22	16	11	-9	23	19	-9	24	16	15	-9	27	26	-9	-9	16	14	12	16	-9	16	19	20	24	-9	-9	17	25	-9	-9	40	17	-9	15	14	29	-9	-9	18	19	-9	12	30	22	-9	-9	-9	-9	-9	-9	-9	13	-9	24	15	-9	17	-9	39	-9	12	12	25	15	-9	27	-9	13	-9	25	28	30	-9	11	19	-9	-9	34	-9	46	15	-9	15	14	37	-9	-9	-9	-9	24	13	-9	-9	-9	-9	21	-9	23	13	17	32	30	13	22	29	18
10	1	13	11	27	18	21	13	22	-9	14	22	16	11	-9	23	19	-9	24	16	9	17	27	26	18	16	16	14	14	18	14	16	17	20	28	27	14	17	25	-9	26	40	17	25	15	14	43	-9	9	-9	-9	15	12	30	-9	27	13	12	15	13	24	13	13	21	-9	15	21	17	20	-9	25	-9	-9	22	-9	31	31	14	-9	24	29	20	30	13	-9	-9	18	19	32	13	-9	15	17	15	14	37	16	11	29	23	24	13	-9	-9	-9	16	21	19	23	-9	17	40	30	13	22	29	-9
10	1	13	11	27	18	21	13	22	-9	14	22	16	11	-9	23	19	-9	24	16	9	17	27	26	18	16	16	14	14	18	14	16	17	20	28	27	14	17	25	-9	26	40	17	25	15	14	43	-9	9	-9	-9	15	12	30	-9	27	13	12	15	13	24	13	13	21	-9	15	21	17	20	-9	25	-9	-9	22	-9	31	31	14	-9	24	29	20	30	13	-9	-9	18	19	32	13	-9	15	17	15	14	37	16	11	29	23	24	13	-9	-9	-9	16	21	19	23	-9	17	40	30	13	22	29	-9
11	1	-9	-9	-9	-9	-9	13	-9	22	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	27	26	-9	-9	-9	-9	-9	16	-9	-9	15	-9	-9	-9	-9	-9	25	23	-9	40	-9	25	-9	-9	-9	-9	-9	18	-9	-9	12	-9	-9	-9	13	-9	-9	-9	24	13	-9	21	-9	15	-9	17	-9	35	-9	12	-9	25	-9	-9	-9	-9	-9	-9	-9	20	-9	-9	-9	-9	-9	-9	-9	-9	-9	15	-9	-9	-9	-9	-9	-9	-9	-9	24	-9	-9	-9	13	-9	-9	-9	-9	-9	17	-9	-9	-9	-9	29	-9
11	1	-9	-9	-9	-9	-9	13	-9	22	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	27	26	-9	-9	-9	-9	-9	16	-9	-9	15	-9	-9	-9	-9	-9	25	23	-9	40	-9	25	-9	-9	-9	-9	-9	18	-9	-9	12	-9	-9	-9	13	-9	-9	-9	24	13	-9	21	-9	15	-9	17	-9	35	-9	12	-9	25	-9	-9	-9	-9	-9	-9	-9	20	-9	-9	-9	-9	-9	-9	-9	-9	-9	15	-9	-9	-9	-9	-9	-9	-9	-9	24	-9	-9	-9	13	-9	-9	-9	-9	-9	17	-9	-9	-9	-9	29	-9
12	1	-9	-9	-9	18	-9	13	-9	22	-9	-9	-9	-9	-9	-9	19	-9	-9	16	9	15	27	-9	-9	-9	14	-9	-9	18	16	14	-9	-9	24	-9	-9	-9	25	23	26	-9	-9	25	-9	14	43	-9	-9	-9	-9	15	12	-9	-9	-9	-9	-9	15	-9	24	13	-9	23	-9	-9	-9	17	-9	35	25	-9	-9	22	-9	-9	27	-9	-9	16	-9	20	-9	-9	13	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	11	29	-9	24	13	-9	-9	13	-9	21	-9	27	13	17	40	-9	-9	22	3	20
12	1	-9	-9	-9	18	-9	13	-9	22	-9	-9	-9	-9	-9	-9	19	-9	-9	16	9	15	27	-9	-9	-9	14	-9	-9	18	16	14	-9	-9	24	-9	-9	-9	25	23	26	-9	-9	25	-9	14	43	-9	-9	-9	-9	15	12	-9	-9	-9	-9	-9	15	-9	24	13	-9	23	-9	-9	-9	17	-9	35	25	-9	-9	22	-9	-9	27	-9	-9	16	-9	20	-9	-9	13	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	11	29	-9	24	13	-9	-9	13	-9	21	-9	27	13	17	40	-9	-9	22	3	20
13	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	14	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	19	-9	12	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	12	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	19	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
13	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	14	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	19	-9	12	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	12	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	19	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
14	2	-9	-9	-9	18	19	9	22	-9	-9	22	16	13	38	-9	19	33	22	16	-9	-9	27	26	-9	-9	16	14	-9	18	14	14	-9	22	28	27	14	17	25	-9	-9	40	21	25	-9	14	43	20	9	-9	19	14	-9	-9	22	28	-9	-9	-9	13	24	13	13	23	32	17	21	17	-9	39	25	12	14	-9	13	31	31	14	15	16	29	20	-9	-9	11	-9	18	-9	34	13	28	13	-9	-9	14	-9	16	11	29	23	20	13	14	13	13	16	21	-9	-9	13	17	32	30	13	22	29	20
14	2	-9	-9	-9	18	19	9	22	-9	-9	22	16	13	38	-9	19	33	22	16	-9	-9	27	26	-9	-9	16	14	-9	18	14	14	-9	22	28	27	14	17	25	-9	-9	40	21	25	-9	14	43	20	9	-9	19	14	-9	-9	22	28	-9	-9	-9	13	24	13	13	23	32	17	21	17	-9	39	25	12	14	-9	13	31	31	14	15	16	29	20	-9	-9	11	-9	18	-9	34	13	28	13	-9	-9	14	-9	16	11	29	23	20	13	14	13	13	16	21	-9	-9	13	17	32	30	13	22	29	20
15	2	13	-9	-9	18	19	9	22	23	14	22	16	-9	38	27	19	-9	24	-9	-9	15	27	26	16	16	16	14	14	18	14	14	15	-9	20	27	14	17	-9	23	26	36	21	25	15	14	43	-9	13	18	19	14	-9	30	-9	28	13	14	-9	13	24	13	13	-9	32	-9	21	17	23	39	25	12	-9	-9	13	31	31	14	15	16	-9	20	30	17	-9	23	18	17	34	13	28	15	17	15	-9	37	16	11	29	23	-9	13	12	13	-9	16	21	21	23	-9	17	32	30	13	16	29	20
15	2	13	-9	-9	18	19	9	22	23	14	22	16	-9	38	27	19	-9	24	-9	-9	15	27	26	16	16	16	14	14	18	14	14	15	-9	20	27	14	17	-9	23	26	36	21	25	15	14	43	-9	13	18	19	14	-9	30	-9	28	13	14	-9	13	24	13	13	-9	32	-9	21	17	23	39	25	12	-9	-9	13	31	31	14	15	16	-9	20	30	17	-9	23	18	17	34	13	28	15	17	15	-9	37	16	11	29	23	-9	13	12	13	-9	16	21	21	23	-9	17	32	30	13	16	29	20
16	2	-9	-9	-9	18	19	13	22	23	14	22	16	13	38	27	19	33	24	16	-9	-9	27	26	16	16	16	14	14	18	14	-9	15	20	28	27	14	-9	-9	23	26	-9	17	25	15	14	43	20	13	18	19	14	-9	30	22	28	13	14	-9	-9	-9	13	13	23	32	15	21	17	23	39	-9	12	14	22	13	-9	-9	14	15	16	29	20	-9	13	13	19	18	17	34	13	-9	-9	17	15	14	37	16	-9	-9	23	20	13	14	13	13	16	21	19	23	13	17	32	30	13	16	-9	20
16	2	-9	-9	-9	18	19	13	22	23	14	22	16	13	38	27	19	33	24	16	-9	-9	27	26	16	16	16	14	14	18	14	-9	15	20	28	27	14	-9	-9	23	26	-9	17	25	15	14	43	20	13	18	19	14	-9	30	22	28	13	14	-9	-9	-9	13	13	23	32	15	21	17	23	39	-9	12	14	22	13	-9	-9	14	15	16	29	20	-9	13	13	19	18	17	34	13	-9	-9	17	15	14	37	16	-9	-9	23	20	13	14	13	13	16	21	19	23	13	17	32	30	13	16	-9	20
17	2	13	13	31	14	19	9	22	22	14	22	16	13	38	23	19	33	24	-9	-9	15	27	26	16	16	16	14	14	18	14	-9	15	20	-9	27	14	17	25	23	26	-9	17	25	15	14	43	20	13	18	19	-9	12	-9	22	28	13	14	15	13	24	13	13	23	32	15	21	17	23	39	25	12	14	-9	13	31	31	14	15	16	29	20	30	17	13	-9	18	17	34	13	28	15	17	15	12	-9	16	-9	29	23	24	13	-9	13	13	16	21	19	23	13	-9	32	30	13	-9	29	20
17	2	13	13	31	14	19	9	22	22	14	22	16	13	38	23	19	33	24	-9	-9	15	27	26	16	16	16	14	14	18	14	-9	15	20	-9	27	14	17	25	23	26	-9	17	25	15	14	43	20	13	18	19	-9	12	-9	22	28	13	14	15	13	24	13	13	23	32	15	21	17	23	39	25	12	14	-9	13	31	31	14	15	16	29	20	30	17	13	-9	18	17	34	13	28	15	17	15	12	-9	16	-9	29	23	24	13	-9	13	13	16	21	19	23	13	-9	32	30	13	-9	29	20
18	2	13	-9	31	-9	19	-9	22	23	14	22	16	-9	38	23	19	-9	24	-9	15	-9	27	26	16	16	16	14	12	18	14	14	-9	20	28	27	-9	17	-9	23	-9	36	17	-9	15	6	43	-9	-9	-9	19	-9	12	30	-9	33	-9	14	-9	-9	-9	13	-9	-9	32	15	21	19	-9	-9	-9	12	-9	22	13	-9	31	-9	-9	-9	29	20	30	-9	13	19	-9	17	34	-9	28	-9	-9	15	14	37	-9	11	25	23	24	13	14	-9	-9	16	-9	-9	23	13	17	40	30	-9	-9	29	20
18	2	13	-9	31	-9	19	-9	22	23	14	22	16	-9	38	23	19	-9	24	-9	15	-9	27	26	16	16	16	14	12	18	14	14	-9	20	28	27	-9	17	-9	23	-9	36	17	-9	15	6	43	-9	-9	-9	19	-9	12	30	-9	33	-9	14	-9	-9	-9	13	-9	-9	32	15	21	19	-9	-9	-9	12	-9	22	13	-9	31	-9	-9	-9	29	20	30	-9	13	19	-9	17	34	-9	28	-9	-9	15	14	37	-9	11	25	23	24	13	14	-9	-9	16	-9	-9	23	13	17	40	30	-9	-9	29	20
19	2	13	13	27	18	19	-9	22	-9	14	22	16	13	38	-9	19	33	24	16	15	-9	27	26	16	16	16	14	14	18	-9	14	15	20	24	27	14	17	25	23	-9	-9	17	21	13	14	43	20	-9	20	19	14	12	30	22	28	13	14	15	13	24	13	13	-9	32	15	21	17	-9	39	24	12	14	22	13	31	31	14	15	16	-9	20	30	17	11	19	-9	-9	34	13	28	13	17	15	14	41	16	-9	-9	23	-9	13	14	13	13	-9	-9	19	23	13	-9	-9	30	13	16	29	20
19	2	13	13	27	18	19	-9	22	-9	14	22	16	13	38	-9	19	33	24	16	15	-9	27	26	16	16	16	14	14	18	-9	14	15	20	24	27	14	17	25	23	-9	-9	17	21	13	14	43	20	-9	20	19	14	12	30	22	28	13	14	15	13	24	13	13	-9	32	15	21	17	-9	39	24	12	14	22	13	31	31	14	15	16	-9	20	30	17	11	19	-9	-9	34	13	28	13	17	15	14	41	16	-9	-9	23	-9	13	14	13	13	-9	-9	19	23	13	-9	-9	30	13	16	29	20
20	3	13	13	31	-9	19	-9	22	-9	14	22	16	13	38	23	19	33	24	14	15	15	27	26	-9	16	16	14	14	18	14	-9	17	20	28	27	-9	17	25	23	29	-9	17	-9	13	-9	43	20	13	-9	19	-9	12	30	-9	28	13	-9	15	-9	24	13	11	23	32	15	21	-9	-9	39	-9	12	14	22	13	31	31	14	15	16	-9	20	30	13	11	-9	18	17	34	13	28	15	17	15	-9	41	16	11	-9	23	-9	13	14	-9	-9	16	21	21	23	13	-9	32	30	13	22	29	20
20	3	13	13	31	-9	19	-9	22	-9	14	22	16	13	38	23	19	33	24	14	15	15	27	26	-9	16	16	14	14	18	14	-9	17	20	28	27	-9	17	25	23	29	-9	17	-9	13	-9	43	20	13	-9	19	-9	12	30	-9	28	13	-9	15	-9	24	13	11	23	32	15	21	-9	-9	39	-9	12	14	22	13	31	31	14	15	16	-9	20	30	13	11	-9	18	17	34	13	28	15	17	15	-9	41	16	11	-9	23	-9	13	14	-9	-9	16	21	21	23	13	-9	32	30	13	22	29	20
21	3	13	13	31	18	19	9	22	22	14	22	16	13	38	23	19	33	24	18	-9	15	27	29	16	16	16	14	14	18	16	14	-9	20	20	27	14	13	25	23	26	40	-9	25	15	14	43	20	13	18	19	14	12	-9	22	28	11	-9	-9	13	24	13	13	23	32	15	21	17	23	39	-9	12	-9	22	13	31	31	14	15	16	29	20	30	-9	11	-9	18	17	34	13	28	-9	-9	13	14	37	16	11	25	23	-9	13	14	13	13	-9	21	19	23	13	17	40	30	-9	22	-9	-9
21	3	13	13	31	18	19	9	22	22	14	22	16	13	38	23	19	33	24	18	-9	15	27	29	16	16	16	14	14	18	16	14	-9	20	20	27	14	13	25	23	26	40	-9	25	15	14	43	20	13	18	19	14	12	-9	22	28	11	-9	-9	13	24	13	13	23	32	15	21	17	23	39	-9	12	-9	22	13	31	31	14	15	16	29	20	30	-9	11	-9	18	17	34	13	28	-9	-9	13	14	37	16	11	25	23	-9	13	14	13	13	-9	21	19	23	13	17	40	30	-9	22	-9	-9
22	3	-9	13	31	18	19	9	-9	22	14	22	16	-9	38	23	18	-9	24	-9	-9	15	27	26	16	16	16	14	12	18	16	14	15	20	-9	-9	14	17	-9	23	26	40	17	-9	15	14	43	-9	13	-9	19	14	-9	30	22	28	-9	14	-9	-9	24	13	13	-9	32	15	21	17	23	-9	25	12	14	22	13	31	31	14	15	16	29	-9	30	13	13	19	18	17	34	-9	28	15	17	15	-9	37	16	11	29	23	24	13	14	13	-9	16	21	19	23	13	-9	40	30	-9	22	-9	20
22	3	-9	13	31	18	19	9	-9	22	14	22	16	-9	38	23	18	-9	24	-9	-9	15	27	26	16	16	16	14	12	18	16	14	15	20	-9	-9	14	17	-9	23	26	40	17	-9	15	14	43	-9	13	-9	19	14	-9	30	22	28	-9	14	-9	-9	24	13	13	-9	32	15	21	17	23	-9	25	12	14	22	13	31	31	14	15	16	29	-9	30	13	13	19	18	17	34	-9	28	15	17	15	-9	37	16	11	29	23	24	13	14	13	-9	16	21	19	23	13	-9	40	30	-9	22	-9	20
23	4	13	13	-9	14	19	9	22	-9	14	22	16	13	-9	23	19	33	24	16	15	15	27	26	16	-9	16	14	14	18	14	14	-9	20	-9	27	14	-9	25	23	-9	40	17	25	15	14	-9	-9	13	18	19	14	12	30	-9	28	13	14	15	13	24	13	-9	23	32	15	21	17	23	-9	-9	12	14	22	13	31	31	14	-9	16	29	20	30	13	11	23	18	-9	34	13	28	15	17	15	14	-9	16	11	29	23	-9	13	14	13	13	16	21	19	23	13	-9	-9	30	13	22	-9	20
23	4	13	13	-9	14	19	9	22	-9	14	22	16	13	-9	23	19	33	24	16	15	15	27	26	16	-9	16	14	14	18	14	14	-9	20	-9	27	14	-9	25	23	-9	40	17	25	15	14	-9	-9	13	18	19	14	12	30	-9	28	13	14	15	13	24	13	-9	23	32	15	21	17	23	-9	-9	12	14	22	13	31	31	14	-9	16	29	20	30	13	11	23	18	-9	34	13	28	15	17	15	14	-9	16	11	29	23	-9	13	14	13	13	16	21	19	23	13	-9	-9	30	13	22	-9	20
24	4	13	13	27	18	19	9	22	-9	14	-9	16	13	-9	23	19	33	24	16	15	15	27	26	16	16	16	14	14	18	-9	14	15	20	28	27	14	-9	25	23	26	-9	17	25	13	14	43	20	13	18	19	14	12	30	22	33	13	14	15	13	24	13	13	23	32	15	21	17	23	39	-9	12	14	22	13	29	31	14	-9	16	29	20	30	15	11	19	18	17	34	13	28	15	17	15	14	-9	16	11	25	23	24	13	14	13	13	16	21	19	23	13	1	32	30	13	22	29	20
